timestamp,load_mw,load_normalized
2015-01-01 00:00:00+00:00,5946.0,55.040266592613165
2015-01-01 01:00:00+00:00,5726.0,53.00379524206239
2015-01-01 02:00:00+00:00,5347.0,49.49551050634083
2015-01-01 03:00:00+00:00,5249.0,48.58835508655003
2015-01-01 04:00:00+00:00,5309.0,49.14375636397297
2015-01-01 05:00:00+00:00,5574.0,51.59677867259095
2015-01-01 06:00:00+00:00,5925.0,54.845876145515135
2015-01-01 07:00:00+00:00,6343.0,58.715171711561595
2015-01-01 08:00:00+00:00,6882.0,63.704526520411
2015-01-01 09:00:00+00:00,6963.0,64.45431824493197
2015-01-01 10:00:00+00:00,7110.0,65.81505137461816
2015-01-01 11:00:00+00:00,7136.0,66.05572526150144
2015-01-01 12:00:00+00:00,7013.0,64.91715264278442
2015-01-01 13:00:00+00:00,6735.0,62.3437933907248
2015-01-01 14:00:00+00:00,6543.0,60.5665093029714
2015-01-01 15:00:00+00:00,6603.0,61.121910580394335
2015-01-01 16:00:00+00:00,6735.0,62.3437933907248
2015-01-01 17:00:00+00:00,6626.0,61.334814403406455
2015-01-01 18:00:00+00:00,6738.0,62.37156345459594
2015-01-01 19:00:00+00:00,6654.0,61.59400166620384
2015-01-01 20:00:00+00:00,6255.0,57.90058317134129
2015-01-01 21:00:00+00:00,6221.0,57.58585578080163
2015-01-01 22:00:00+00:00,5864.0,54.28121818013515
2015-01-01 23:00:00+00:00,5533.0,51.21725446635194
2015-01-02 00:00:00+00:00,5205.0,48.18106081643988
2015-01-02 01:00:00+00:00,4971.0,46.01499583449042
2015-01-02 02:00:00+00:00,4669.0,43.219476071461635
2015-01-02 03:00:00+00:00,4756.0,44.02480792372489
2015-01-02 04:00:00+00:00,5080.0,47.02397482180876
2015-01-02 05:00:00+00:00,5422.0,50.189762103119506
2015-01-02 06:00:00+00:00,5856.0,54.20716467647876
2015-01-02 07:00:00+00:00,6366.0,58.92807553457373
2015-01-02 08:00:00+00:00,6431.0,59.529760251781916
2015-01-02 09:00:00+00:00,6699.0,62.01055262427103
2015-01-02 10:00:00+00:00,6543.0,60.5665093029714
2015-01-02 11:00:00+00:00,6310.0,58.409701008978985
2015-01-02 12:00:00+00:00,6257.0,57.919096547255386
2015-01-02 13:00:00+00:00,6307.0,58.38193094510784
2015-01-02 14:00:00+00:00,6502.0,60.18698509673239
2015-01-02 15:00:00+00:00,6889.0,63.76932333611034
2015-01-02 16:00:00+00:00,5972.0,55.28094047949643
2015-01-02 17:00:00+00:00,5892.0,54.54040544293252
2015-01-02 18:00:00+00:00,5807.0,53.753586966583356
2015-01-02 19:00:00+00:00,5313.0,49.18078311580117
2015-01-02 20:00:00+00:00,5379.0,49.7917245209664
2015-01-02 21:00:00+00:00,5325.0,49.29186337128576
2015-01-02 22:00:00+00:00,5145.0,47.62565953901694
2015-01-02 23:00:00+00:00,5827.0,53.93872072572433
